id,name,city,province,lat,lng,has_er,data_source,wait_metric,stat_type
on_universityhealthnetw,University Health Network - Toronto General Hospital,Toronto,ON,43.659111,-79.388209,t,uhn,time_to_physician,p80
on_torontowesternhospital,University Health Network - Toronto Western Hospital,Toronto,ON,43.6535,-79.4103,t,uhn,time_to_physician,p80
on_westlincolnmemorialh,West Lincoln Memorial Hospital,Grimsby,ON,43.188256,-79.541906,t,hamilton,time_to_physician,current_estimate
on_westparrysoundhealth,West Parry Sound Health Centre,Parry Sound,ON,45.340743,-80.016767,t,oculys,time_to_physician,current_estimate
on_willetturgentcarecen,Willett Urgent Care Centre,Paris,ON,43.193,-80.383,t,bchs_willett,time_to_physician,median
on_williamoslerhealthsy,William Osler Health System - Brampton Civic Hospital,Brampton,ON,43.747466,-79.743223,t,osler,time_to_physician,current_estimate
on_williamosleretobicok,William Osler Health System - Etobicoke General Hospital,Etobicoke,ON,43.6544,-79.5597,t,osler,time_to_physician,current_estimate
on_williamoslerpeelmemo,William Osler Health System - Peel Memorial Centre,Brampton,ON,43.6856,-79.759,t,osler,time_to_physician,current_estimate
on_windsorregionalmetro,Windsor Regional Hospital - Met Campus,Windsor,ON,42.2917,-83.0108,t,transformsso,time_to_physician,median
on_windsorregionalhospi,Windsor Regional Hospital - Ouellette Campus,Windsor,ON,42.308636,-83.031988,t,transformsso,time_to_physician,median
pe_kingscountymemorialh,Kings County Memorial Hospital,Montague,PE,46.16934,-62.655768,t,pei_health,unknown,current_estimate
pe_princecountyhospital,Prince County Hospital,Summerside,PE,46.41743,-63.773048,t,pei_health,unknown,current_estimate
pe_queenelizabethhospit,Queen Elizabeth Hospital,Charlottetown,PE,46.255749,-63.102348,t,pei_health,unknown,current_estimate
pe_westernhospital,Western Hospital,Alberton,PE,46.81108,-64.066028,t,pei_health,unknown,current_estimate
qc_centrederadaptatione,"CENTRE DE RÉADAPTATION EN DÉFICIENCE INTELLECTUELLE, TROUBLE DU SPECTRE DE L'AUTISME ET EN DÉFICIENCE PHYSIQUE THÉRÈSE-MARTIN",Rivière-Ouelle,QC,47.455067,-70.000724,t,qc_quebec,time_to_physician,current_estimate
qc_centrederechercheduc,CENTRE DE RECHERCHE DU CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,Montréal,QC,45.510839,-73.555946,t,qc_quebec,time_to_physician,current_estimate
